SampleNumber,Site,CollectDate,Test,Param,NumericResult,Results_Units,OrderDetails_User1,OrderDetails_User2,OrderDetails_User3,OrderDetails_User4,Instrument,RepLimit,Results_Method,AnalysisEmployee,AnalysisDate
2020010602-02,239 LA CB 5m,1/6/2020,NO3,NO3-N,55.7,µg/L,,,,,AutoAnalyzer 3,4.09,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-02,239 LA CB 5m,1/6/2020,Part C/N,Part C,263,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2020010602-02,239 LA CB 5m,1/6/2020,Part C/N,Part N,20,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2020010602-02,239 LA CB 5m,1/6/2020,Part P,Part P,2,µg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,0.2,ELA-PartP,jthoroski,8/24/2022 12:00:00 AM
2020010602-02,239 LA CB 5m,1/6/2020,pH,pH,6.33,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,esmith,1/6/2020 12:00:00 AM
2020010602-02,239 LA CB 5m,1/6/2020,SRSi,SRSi,22.848,mg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,0.003,ELA-SRSi,bcooney,5/22/2020 12:00:00 AM
2020010602-02,239 LA CB 5m,1/6/2020,TDN,TDN,291,µg/L,,,,,AutoAnalyzer 3,10.9,ELA-TDN,shavens,1/13/2020 12:00:00 AM
2020010602-02,239 LA CB 5m,1/6/2020,TDP,TDP,2.3,µg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,1.85,ELA-TDP,esmith,1/9/2020 12:00:00 AM
2020010602-03,239 LA CB 10m,1/6/2020,Alk,Alk,153,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2020010602-03,239 LA CB 10m,1/6/2020,Anions,Cl,0.23,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2020010602-03,239 LA CB 10m,1/6/2020,Anions,SO4,1.78,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2020010602-03,239 LA CB 10m,1/6/2020,Archive,Archive,,,,,,,,,ELA-Archive,,
2020010602-03,239 LA CB 10m,1/6/2020,Cations,Ca,2.64,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-03,239 LA CB 10m,1/6/2020,Cations,Fe,0.03,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-03,239 LA CB 10m,1/6/2020,Cations,K,0.46,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-03,239 LA CB 10m,1/6/2020,Cations,Mg,0.69,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-03,239 LA CB 10m,1/6/2020,Cations,Mn,0,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,BASL - UAlberta,
2020010602-03,239 LA CB 10m,1/6/2020,Cations,Na,1.09,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-03,239 LA CB 10m,1/6/2020,Chla,Chla,0.24,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,bcooney,10/28/2020 12:00:00 AM
2020010602-03,239 LA CB 10m,1/6/2020,DIC,DIC,227,µmol/L,,,,,LI-850 LI-COR CO2/H20 Gas Analyzer,4.4,ELA-DIC,esmith,1/9/2020 12:00:00 AM
2020010602-03,239 LA CB 10m,1/6/2020,DOC,DOC,671,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,bcooney,3/31/2022 12:00:00 AM
2020010602-03,239 LA CB 10m,1/6/2020,NH3,NH3-N,4,µg/L,,,,,AutoAnalyzer 3,6.7,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-03,239 LA CB 10m,1/6/2020,NO2,NO2-N,0.9,µg/L,,,,,AutoAnalyzer 3,0.48,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-03,239 LA CB 10m,1/6/2020,NO3,NO3-N,65.6,µg/L,,,,,AutoAnalyzer 3,4.09,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-03,239 LA CB 10m,1/6/2020,Part C/N,Part C,252,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2020010602-03,239 LA CB 10m,1/6/2020,Part C/N,Part N,19,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2020010602-03,239 LA CB 10m,1/6/2020,Part P,Part P,2,µg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,0.2,ELA-PartP,jthoroski,8/24/2022 12:00:00 AM
2020010602-03,239 LA CB 10m,1/6/2020,pH,pH,6.257,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,esmith,1/6/2020 12:00:00 AM
2020010602-03,239 LA CB 10m,1/6/2020,SRSi,SRSi,2.958,mg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,0.003,ELA-SRSi,bcooney,5/22/2020 12:00:00 AM
2020010602-03,239 LA CB 10m,1/6/2020,TDN,TDN,305,µg/L,,,,,AutoAnalyzer 3,10.9,ELA-TDN,shavens,1/13/2020 12:00:00 AM
2020010602-03,239 LA CB 10m,1/6/2020,TDP,TDP,2.3,µg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,1.85,ELA-TDP,esmith,1/9/2020 12:00:00 AM
2020010602-04,239 LA CB 15m,1/6/2020,Alk,Alk,158,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2020010602-04,239 LA CB 15m,1/6/2020,Anions,Cl,0.24,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2020010602-04,239 LA CB 15m,1/6/2020,Anions,SO4,1.83,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2020010602-04,239 LA CB 15m,1/6/2020,Archive,Archive,,,,,,,,,ELA-Archive,,
2020010602-04,239 LA CB 15m,1/6/2020,Cations,Ca,2.64,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-04,239 LA CB 15m,1/6/2020,Cations,Fe,0.03,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-04,239 LA CB 15m,1/6/2020,Cations,K,0.47,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-04,239 LA CB 15m,1/6/2020,Cations,Mg,0.69,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-04,239 LA CB 15m,1/6/2020,Cations,Mn,0,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,BASL - UAlberta,
2020010602-04,239 LA CB 15m,1/6/2020,Cations,Na,1.1,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-04,239 LA CB 15m,1/6/2020,Chla,Chla,0.23,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,bcooney,10/28/2020 12:00:00 AM
2020010602-04,239 LA CB 15m,1/6/2020,DIC,DIC,218,µmol/L,,,,,LI-850 LI-COR CO2/H20 Gas Analyzer,4.4,ELA-DIC,esmith,1/9/2020 12:00:00 AM
2020010602-04,239 LA CB 15m,1/6/2020,DOC,DOC,656,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,bcooney,3/31/2022 12:00:00 AM
2020010602-04,239 LA CB 15m,1/6/2020,NH3,NH3-N,5,µg/L,,,,,AutoAnalyzer 3,6.7,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-04,239 LA CB 15m,1/6/2020,NO2,NO2-N,0.9,µg/L,,,,,AutoAnalyzer 3,0.48,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-04,239 LA CB 15m,1/6/2020,NO3,NO3-N,65.6,µg/L,,,,,AutoAnalyzer 3,4.09,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-04,239 LA CB 15m,1/6/2020,Part C/N,Part C,260,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2020010602-04,239 LA CB 15m,1/6/2020,Part C/N,Part N,15,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2020010602-04,239 LA CB 15m,1/6/2020,Part P,Part P,3,µg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,0.2,ELA-PartP,jthoroski,8/24/2022 12:00:00 AM
2020010602-04,239 LA CB 15m,1/6/2020,pH,pH,6.184,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,esmith,1/6/2020 12:00:00 AM
2020010602-04,239 LA CB 15m,1/6/2020,SRSi,SRSi,2.906,mg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,0.003,ELA-SRSi,bcooney,5/22/2020 12:00:00 AM
2020010602-04,239 LA CB 15m,1/6/2020,TDN,TDN,301,µg/L,,,,,AutoAnalyzer 3,10.9,ELA-TDN,shavens,1/13/2020 12:00:00 AM
2020010602-04,239 LA CB 15m,1/6/2020,TDP,TDP,2.5,µg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,1.85,ELA-TDP,esmith,1/9/2020 12:00:00 AM
2020010602-05,239 LA CB 20m,1/6/2020,Alk,Alk,159,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2020010602-05,239 LA CB 20m,1/6/2020,Anions,Cl,0.24,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2020010602-05,239 LA CB 20m,1/6/2020,Anions,SO4,1.78,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2020010602-05,239 LA CB 20m,1/6/2020,Archive,Archive,,,,,,,,,ELA-Archive,,
2020010602-05,239 LA CB 20m,1/6/2020,Cations,Ca,2.65,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-05,239 LA CB 20m,1/6/2020,Cations,Fe,0.04,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-05,239 LA CB 20m,1/6/2020,Cations,K,0.46,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-05,239 LA CB 20m,1/6/2020,Cations,Mg,0.7,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-05,239 LA CB 20m,1/6/2020,Cations,Mn,0,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,BASL - UAlberta,
2020010602-05,239 LA CB 20m,1/6/2020,Cations,Na,1.12,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-05,239 LA CB 20m,1/6/2020,Chla,Chla,0.29,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,bcooney,10/28/2020 12:00:00 AM
2020010602-05,239 LA CB 20m,1/6/2020,DIC,DIC,248,µmol/L,,,,,LI-850 LI-COR CO2/H20 Gas Analyzer,4.4,ELA-DIC,esmith,1/9/2020 12:00:00 AM
2020010602-05,239 LA CB 20m,1/6/2020,DOC,DOC,648,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,bcooney,3/31/2022 12:00:00 AM
2020010602-05,239 LA CB 20m,1/6/2020,NH3,NH3-N,10,µg/L,,,,,AutoAnalyzer 3,6.7,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-05,239 LA CB 20m,1/6/2020,NO2,NO2-N,1,µg/L,,,,,AutoAnalyzer 3,0.48,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-05,239 LA CB 20m,1/6/2020,NO3,NO3-N,71.5,µg/L,,,,,AutoAnalyzer 3,4.09,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-05,239 LA CB 20m,1/6/2020,Part C/N,Part C,303,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2020010602-05,239 LA CB 20m,1/6/2020,Part C/N,Part N,29,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2020010602-05,239 LA CB 20m,1/6/2020,Part P,Part P,3,µg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,0.2,ELA-PartP,jthoroski,8/24/2022 12:00:00 AM
2020010602-05,239 LA CB 20m,1/6/2020,pH,pH,6.158,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,esmith,1/6/2020 12:00:00 AM
2020010602-05,239 LA CB 20m,1/6/2020,SRSi,SRSi,2.993,mg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,0.003,ELA-SRSi,bcooney,5/22/2020 12:00:00 AM
2020010602-05,239 LA CB 20m,1/6/2020,TDN,TDN,295,µg/L,,,,,AutoAnalyzer 3,10.9,ELA-TDN,shavens,1/13/2020 12:00:00 AM
2020010602-05,239 LA CB 20m,1/6/2020,TDP,TDP,2.6,µg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,1.85,ELA-TDP,esmith,1/9/2020 12:00:00 AM
2020010602-06,239 LA CB 25m,1/6/2020,Alk,Alk,158,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2020010602-06,239 LA CB 25m,1/6/2020,Anions,Cl,0.23,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2020010602-06,239 LA CB 25m,1/6/2020,Anions,SO4,1.78,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2020010602-06,239 LA CB 25m,1/6/2020,Archive,Archive,,,,,,,,,ELA-Archive,,
2020010602-06,239 LA CB 25m,1/6/2020,Cations,Ca,2.74,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-06,239 LA CB 25m,1/6/2020,Cations,Fe,0.27,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-06,239 LA CB 25m,1/6/2020,Cations,K,0.46,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-06,239 LA CB 25m,1/6/2020,Cations,Mg,0.72,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-06,239 LA CB 25m,1/6/2020,Cations,Mn,0,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,BASL - UAlberta,
2020010602-06,239 LA CB 25m,1/6/2020,Cations,Na,1.1,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-06,239 LA CB 25m,1/6/2020,Chla,Chla,0.3,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,bcooney,10/28/2020 12:00:00 AM
2020010602-06,239 LA CB 25m,1/6/2020,DIC,DIC,288,µmol/L,,,,,LI-850 LI-COR CO2/H20 Gas Analyzer,4.4,ELA-DIC,esmith,1/9/2020 12:00:00 AM
2020010602-06,239 LA CB 25m,1/6/2020,DOC,DOC,632,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,bcooney,3/31/2022 12:00:00 AM
2020010602-06,239 LA CB 25m,1/6/2020,NH3,NH3-N,3,µg/L,,,,,AutoAnalyzer 3,6.7,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-06,239 LA CB 25m,1/6/2020,NO2,NO2-N,0.9,µg/L,,,,,AutoAnalyzer 3,0.48,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-06,239 LA CB 25m,1/6/2020,NO3,NO3-N,80.5,µg/L,,,,,AutoAnalyzer 3,4.09,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-06,239 LA CB 25m,1/6/2020,Part C/N,Part C,317,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2020010602-06,239 LA CB 25m,1/6/2020,Part C/N,Part N,24,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2020010602-06,239 LA CB 25m,1/6/2020,Part P,Part P,4,µg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,0.2,ELA-PartP,jthoroski,8/24/2022 12:00:00 AM
2020010602-06,239 LA CB 25m,1/6/2020,pH,pH,6.082,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,esmith,1/6/2020 12:00:00 AM
2020010602-06,239 LA CB 25m,1/6/2020,SRSi,SRSi,3.166,mg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,0.003,ELA-SRSi,bcooney,5/22/2020 12:00:00 AM
2020010602-06,239 LA CB 25m,1/6/2020,TDN,TDN,299,µg/L,,,,,AutoAnalyzer 3,10.9,ELA-TDN,shavens,1/13/2020 12:00:00 AM
2020010602-06,239 LA CB 25m,1/6/2020,TDP,TDP,3.2,µg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,1.85,ELA-TDP,esmith,1/9/2020 12:00:00 AM
2020010602-07,239 LA CB 30m,1/6/2020,Alk,Alk,236,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2020010602-07,239 LA CB 30m,1/6/2020,Anions,Cl,0.23,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2020010602-07,239 LA CB 30m,1/6/2020,Anions,SO4,1.81,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2020010602-07,239 LA CB 30m,1/6/2020,Archive,Archive,,,,,,,,,ELA-Archive,,
2020010602-07,239 LA CB 30m,1/6/2020,Cations,Ca,2.8,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-07,239 LA CB 30m,1/6/2020,Cations,Fe,0.05,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-07,239 LA CB 30m,1/6/2020,Cations,K,0.47,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-07,239 LA CB 30m,1/6/2020,Cations,Mg,0.71,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-07,239 LA CB 30m,1/6/2020,Cations,Mn,0,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,BASL - UAlberta,
2020010602-07,239 LA CB 30m,1/6/2020,Cations,Na,1.11,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-07,239 LA CB 30m,1/6/2020,Chla,Chla,0.44,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,bcooney,10/28/2020 12:00:00 AM
2020010602-07,239 LA CB 30m,1/6/2020,DIC,DIC,426,µmol/L,,,,,LI-850 LI-COR CO2/H20 Gas Analyzer,4.4,ELA-DIC,esmith,1/9/2020 12:00:00 AM
2020010602-07,239 LA CB 30m,1/6/2020,DOC,DOC,660,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,bcooney,3/31/2022 12:00:00 AM
2020010602-07,239 LA CB 30m,1/6/2020,NH3,NH3-N,9,µg/L,,,,,AutoAnalyzer 3,6.7,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-07,239 LA CB 30m,1/6/2020,NO2,NO2-N,1,µg/L,,,,,AutoAnalyzer 3,0.48,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
