SampleNumber,Site,CollectDate,Test,Param,NumericResult,Results_Units,OrderDetails_User1,OrderDetails_User2,OrderDetails_User3,OrderDetails_User4,Instrument,RepLimit,Results_Method,AnalysisEmployee,AnalysisDate
2020010602-01,239 LA CB 1m,1/6/2020,Alk,Alk,160,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2020010602-01,239 LA CB 1m,1/6/2020,Anions,Cl,0.24,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2020010602-01,239 LA CB 1m,1/6/2020,Anions,SO4,1.8,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2020010602-01,239 LA CB 1m,1/6/2020,Archive,Archive,,,,,,,,,ELA-Archive,,
2020010602-01,239 LA CB 1m,1/6/2020,Cations,Ca,2.66,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-01,239 LA CB 1m,1/6/2020,Cations,Fe,0.03,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-01,239 LA CB 1m,1/6/2020,Cations,K,0.51,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-01,239 LA CB 1m,1/6/2020,Cations,Mg,0.7,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-01,239 LA CB 1m,1/6/2020,Cations,Mn,0,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,BASL - UAlberta,
2020010602-01,239 LA CB 1m,1/6/2020,Cations,Na,1.18,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-01,239 LA CB 1m,1/6/2020,Chla,Chla,0.24,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,bcooney,10/28/2020 12:00:00 AM
2020010602-01,239 LA CB 1m,1/6/2020,DIC,DIC,217,µmol/L,,,,,LI-850 LI-COR CO2/H20 Gas Analyzer,4.4,ELA-DIC,esmith,1/9/2020 12:00:00 AM
2020010602-01,239 LA CB 1m,1/6/2020,DOC,DOC,655,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,bcooney,3/31/2022 12:00:00 AM
2020010602-01,239 LA CB 1m,1/6/2020,NH3,NH3-N,11,µg/L,,,,,AutoAnalyzer 3,6.7,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-01,239 LA CB 1m,1/6/2020,NO2,NO2-N,0.9,µg/L,,,,,AutoAnalyzer 3,0.48,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-01,239 LA CB 1m,1/6/2020,NO3,NO3-N,58.1,µg/L,,,,,AutoAnalyzer 3,4.09,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-01,239 LA CB 1m,1/6/2020,Part C/N,Part C,286,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2020010602-01,239 LA CB 1m,1/6/2020,Part C/N,Part N,25,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2020010602-01,239 LA CB 1m,1/6/2020,Part P,Part P,2,µg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,1,ELA-PartP,jthoroski,8/24/2022 12:00:00 AM
2020010602-01,239 LA CB 1m,1/6/2020,pH,pH,6.338,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,esmith,1/6/2020 12:00:00 AM
2020010602-01,239 LA CB 1m,1/6/2020,Phytoplankton taxonomy,Total Biomass,,mg/m^3,,,,,Zeiss invertoscope inverted microscope,,ELA-Phytoplankton taxonomy,,
2020010602-01,239 LA CB 1m,1/6/2020,SRSi,SRSi,2.903,mg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,0.003,ELA-SRSi,bcooney,5/22/2020 12:00:00 AM
2020010602-01,239 LA CB 1m,1/6/2020,TDN,TDN,321,µg/L,,,,,AutoAnalyzer 3,10.9,ELA-TDN,shavens,1/13/2020 12:00:00 AM
2020010602-01,239 LA CB 1m,1/6/2020,TDP,TDP,2.6,µg/L,,,,,Shimadzu UV1800 Scanning Spectrophotometer,1.85,ELA-TDP,esmith,1/9/2020 12:00:00 AM
2020010602-02,239 LA CB 5m,1/6/2020,Alk,Alk,162,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2020010602-02,239 LA CB 5m,1/6/2020,Anions,Cl,0.22,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2020010602-02,239 LA CB 5m,1/6/2020,Anions,SO4,1.76,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2020010602-02,239 LA CB 5m,1/6/2020,Archive,Archive,,,,,,,,,ELA-Archive,,
2020010602-02,239 LA CB 5m,1/6/2020,Cations,Ca,2.62,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-02,239 LA CB 5m,1/6/2020,Cations,Fe,0.02,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-02,239 LA CB 5m,1/6/2020,Cations,K,0.47,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-02,239 LA CB 5m,1/6/2020,Cations,Mg,0.69,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2020010602-02,239 LA CB 5m,1/6/2020,Cations,Mn,0,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,BASL - UAlberta,
2020010602-02,239 LA CB 5m,1/6/2020,Cations,Na,1.1,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2020010602-02,239 LA CB 5m,1/6/2020,Chla,Chla,0.33,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,bcooney,10/28/2020 12:00:00 AM
2020010602-02,239 LA CB 5m,1/6/2020,DIC,DIC,282,µmol/L,,,,,LI-850 LI-COR CO2/H20 Gas Analyzer,4.4,ELA-DIC,esmith,1/9/2020 12:00:00 AM
2020010602-02,239 LA CB 5m,1/6/2020,DOC,DOC,650,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,bcooney,3/31/2022 12:00:00 AM
2020010602-02,239 LA CB 5m,1/6/2020,NH3,NH3-N,10,µg/L,,,,,AutoAnalyzer 3,6.7,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
2020010602-02,239 LA CB 5m,1/6/2020,NO2,NO2-N,0.8,µg/L,,,,,AutoAnalyzer 3,0.48,ELA-NOxNH3,shavens,1/9/2020 12:00:00 AM
