SampleNumber,Site,CollectDate,Test,Param,NumericResult,Results_Units,OrderDetails_User1,OrderDetails_User2,OrderDetails_User3,OrderDetails_User4,Instrument,RepLimit,Results_Method,AnalysisEmployee,AnalysisDate
2017050101-01,442 LA CB Epi,5/1/2017,Alk,Alk,121,µEq/L,0,7,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2017050101-01,442 LA CB Epi,5/1/2017,Anions,Cl,0.19,mg/L,0,7,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2017050101-01,442 LA CB Epi,5/1/2017,Anions,SO4,1.31,mg/L,0,7,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2017050101-01,442 LA CB Epi,5/1/2017,Cations,Ca,2.22,mg/L,0,7,,,Thermo ICAP-6300 ICP-OES,0.0053,UA-ICP,UAlberta,
2017050101-01,442 LA CB Epi,5/1/2017,Cations,Fe,0.05,mg/L,0,7,,,Thermo ICAP-6300 ICP-OES,0.0161,UA-ICP,UAlberta,
2017050101-01,442 LA CB Epi,5/1/2017,Cations,K,0.38,mg/L,0,7,,,Thermo ICAP-6300 ICP-OES,0.0092,UA-ICP,UAlberta,
2017050101-01,442 LA CB Epi,5/1/2017,Cations,Mg,0.75,mg/L,0,7,,,Thermo ICAP-6300 ICP-OES,0.0103,UA-ICP,UAlberta,
2017050101-01,442 LA CB Epi,5/1/2017,Cations,Mn,,mg/L,0,7,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,UAlberta,
2017050101-01,442 LA CB Epi,5/1/2017,Cations,Na,0.67,mg/L,0,7,,,Thermo ICAP-6300 ICP-OES,0.016,UA-ICP,UAlberta,
2017050101-01,442 LA CB Epi,5/1/2017,Chla,Chla,2.19,µg/L,0,7,,,Turner Designs Trilogy Fluorometer,,ELA-Chla,hkosicheck,9/13/2017 12:00:00 AM
2017050101-01,442 LA CB Epi,5/1/2017,DIC,DIC,239,µM,0,7,,,LI-820 LiCor gas analyzer,,ELA-DIC,hpolaczek,5/8/2017 12:00:00 AM
2017050101-01,442 LA CB Epi,5/1/2017,DOC,DOC,526,µmol/L,0,7,,,Shimadzu TOC-VCPH/CPN,40,FWI-DOC,spaterson,5/22/2018 12:00:00 AM
2017050101-01,442 LA CB Epi,5/1/2017,NH3,NH3-N,2,µg/L,0,7,,,Autoanalyzer II,4.4,ELA-TDN/NH3,,5/17/2017 12:00:00 AM
2017050101-01,442 LA CB Epi,5/1/2017,NO2,NO2-N,0,µg/L,0,7,,,Autoanalyzer II,0.6,ELA-NO2/NO3,jdearnley,5/3/2017 12:00:00 AM
2017050101-01,442 LA CB Epi,5/1/2017,NO3,NO3-N,,µg/L,0,7,,,Autoanalyzer II,1.12,ELA-NO2/NO3,jdearnley,5/3/2017 12:00:00 AM
2017050101-01,442 LA CB Epi,5/1/2017,Part C/N,Part C,495.3,µg/L,0,7,,,Exeter CE 440 Elemental Analyzer,41.5,UA-C/N,U of Alberta,
2017050101-01,442 LA CB Epi,5/1/2017,Part C/N,Part N,55.9,µg/L,0,7,,,Exeter CE 440 Elemental Analyzer,15,UA-C/N,U of Alberta,
2017050101-01,442 LA CB Epi,5/1/2017,Part P,Part P,5,µg/L,0,7,,,Cole-Parmer 2100 Spectrophotometer,0.2,ELA-PartP,hpolaczek,12/8/2017 12:00:00 AM
2017050101-01,442 LA CB Epi,5/1/2017,pH,pH,6.315,SU,0,7,,,Fisher Scientific Accumet pH meter,,ELA-pH,hpolaczek,5/1/2017 12:00:00 AM
2017050101-01,442 LA CB Epi,5/1/2017,SRSi,SRSi,0.904,mg/L,0,7,,,Shimadzu 1601 scanning spectrophotometer,0.003,ELA-SRSi,bgirouard,12/19/2017 12:00:00 AM
2017050101-01,442 LA CB Epi,5/1/2017,TDN,TDN,320,µg/L,0,7,,,Autoanalyzer II,4.4,ELA-TDN/NH3,,5/9/2017 12:00:00 AM
2017050101-01,442 LA CB Epi,5/1/2017,TDP,TDP,2.572,µg/L,0,7,,,Shimadzu 1601 scanning spectrophotometer,0.5,ELA-TDP,,5/11/2017 12:00:00 AM
2017050101-03,442 LA CB 5m,5/1/2017,Alk,Alk,121.2,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2017050101-03,442 LA CB 5m,5/1/2017,Anions,Cl,0.15,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2017050101-03,442 LA CB 5m,5/1/2017,Anions,SO4,1.05,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2017050101-03,442 LA CB 5m,5/1/2017,Cations,Ca,2.05,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0053,UA-ICP,UAlberta,
2017050101-03,442 LA CB 5m,5/1/2017,Cations,Fe,0.05,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0161,UA-ICP,UAlberta,
2017050101-03,442 LA CB 5m,5/1/2017,Cations,K,0.34,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0092,UA-ICP,UAlberta,
2017050101-03,442 LA CB 5m,5/1/2017,Cations,Mg,0.7,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0103,UA-ICP,UAlberta,
2017050101-03,442 LA CB 5m,5/1/2017,Cations,Mn,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,UAlberta,
2017050101-03,442 LA CB 5m,5/1/2017,Cations,Na,0.62,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.016,UA-ICP,UAlberta,
2017050101-03,442 LA CB 5m,5/1/2017,Chla,Chla,2.21,µg/L,,,,,Turner Designs Trilogy Fluorometer,,ELA-Chla,hkosicheck,9/13/2017 12:00:00 AM
2017050101-03,442 LA CB 5m,5/1/2017,DIC,DIC,252,µM,,,,,LI-820 LiCor gas analyzer,,ELA-DIC,hpolaczek,5/8/2017 12:00:00 AM
2017050101-03,442 LA CB 5m,5/1/2017,DOC,DOC,555,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,40,FWI-DOC,sstrapazzon,1/15/2019 12:00:00 AM
2017050101-03,442 LA CB 5m,5/1/2017,NH3,NH3-N,1,µg/L,,,,,Autoanalyzer II,4.4,ELA-TDN/NH3,,5/17/2017 12:00:00 AM
2017050101-03,442 LA CB 5m,5/1/2017,NO2,NO2-N,0,µg/L,,,,,Autoanalyzer II,0.6,ELA-NO2/NO3,jdearnley,5/3/2017 12:00:00 AM
2017050101-03,442 LA CB 5m,5/1/2017,NO3,NO3-N,,µg/L,,,,,Autoanalyzer II,1.12,ELA-NO2/NO3,jdearnley,5/3/2017 12:00:00 AM
2017050101-03,442 LA CB 5m,5/1/2017,Part C/N,Part C,484.6,µg/L,,,,,Exeter CE 440 Elemental Analyzer,41.5,UA-C/N,U of Alberta,
2017050101-03,442 LA CB 5m,5/1/2017,Part C/N,Part N,44.9,µg/L,,,,,Exeter CE 440 Elemental Analyzer,15,UA-C/N,U of Alberta,
2017050101-03,442 LA CB 5m,5/1/2017,Part P,Part P,5,µg/L,,,,,Cole-Parmer 2100 Spectrophotometer,0.2,ELA-PartP,hpolaczek,12/8/2017 12:00:00 AM
2017050101-03,442 LA CB 5m,5/1/2017,pH,pH,6.337,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,hpolaczek,5/1/2017 12:00:00 AM
2017050101-03,442 LA CB 5m,5/1/2017,SRSi,SRSi,0.913,mg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.003,ELA-SRSi,bgirouard,12/19/2017 12:00:00 AM
2017050101-03,442 LA CB 5m,5/1/2017,TDN,TDN,303,µg/L,,,,,Autoanalyzer II,4.4,ELA-TDN/NH3,,5/9/2017 12:00:00 AM
2017050101-03,442 LA CB 5m,5/1/2017,TDP,TDP,3.536,µg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.5,ELA-TDP,,5/11/2017 12:00:00 AM
2017050101-04,442 LA CB 9m,5/1/2017,Alk,Alk,123.2,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2017050101-04,442 LA CB 9m,5/1/2017,Anions,Cl,0.19,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2017050101-04,442 LA CB 9m,5/1/2017,Anions,SO4,1.33,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2017050101-04,442 LA CB 9m,5/1/2017,Cations,Ca,2.16,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0053,UA-ICP,UAlberta,
2017050101-04,442 LA CB 9m,5/1/2017,Cations,Fe,0.05,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0161,UA-ICP,UAlberta,
2017050101-04,442 LA CB 9m,5/1/2017,Cations,K,0.35,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0092,UA-ICP,UAlberta,
2017050101-04,442 LA CB 9m,5/1/2017,Cations,Mg,0.73,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0103,UA-ICP,UAlberta,
2017050101-04,442 LA CB 9m,5/1/2017,Cations,Mn,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,UAlberta,
2017050101-04,442 LA CB 9m,5/1/2017,Cations,Na,0.66,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.016,UA-ICP,UAlberta,
2017050101-04,442 LA CB 9m,5/1/2017,Chla,Chla,2.38,µg/L,,,,,Turner Designs Trilogy Fluorometer,,ELA-Chla,hkosicheck,9/13/2017 12:00:00 AM
2017050101-04,442 LA CB 9m,5/1/2017,DIC,DIC,251,µM,,,,,LI-820 LiCor gas analyzer,,ELA-DIC,hpolaczek,5/8/2017 12:00:00 AM
2017050101-04,442 LA CB 9m,5/1/2017,DOC,DOC,523,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,40,FWI-DOC,sstrapazzon,1/15/2019 12:00:00 AM
2017050101-04,442 LA CB 9m,5/1/2017,NH3,NH3-N,8,µg/L,,,,,Autoanalyzer II,4.4,ELA-TDN/NH3,,5/17/2017 12:00:00 AM
2017050101-04,442 LA CB 9m,5/1/2017,NO2,NO2-N,0,µg/L,,,,,Autoanalyzer II,0.6,ELA-NO2/NO3,jdearnley,5/3/2017 12:00:00 AM
2017050101-04,442 LA CB 9m,5/1/2017,NO3,NO3-N,,µg/L,,,,,Autoanalyzer II,1.12,ELA-NO2/NO3,jdearnley,5/3/2017 12:00:00 AM
2017050101-04,442 LA CB 9m,5/1/2017,Part C/N,Part C,467,µg/L,,,,,Exeter CE 440 Elemental Analyzer,41.5,UA-C/N,U of Alberta,
2017050101-04,442 LA CB 9m,5/1/2017,Part C/N,Part N,61.3,µg/L,,,,,Exeter CE 440 Elemental Analyzer,15,UA-C/N,U of Alberta,
2017050101-04,442 LA CB 9m,5/1/2017,Part P,Part P,5,µg/L,,,,,Cole-Parmer 2100 Spectrophotometer,0.2,ELA-PartP,hpolaczek,12/8/2017 12:00:00 AM
2017050101-04,442 LA CB 9m,5/1/2017,pH,pH,6.337,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,hpolaczek,5/1/2017 12:00:00 AM
2017050101-04,442 LA CB 9m,5/1/2017,SRSi,SRSi,0.937,mg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.003,ELA-SRSi,bgirouard,12/19/2017 12:00:00 AM
2017050101-04,442 LA CB 9m,5/1/2017,TDN,TDN,299,µg/L,,,,,Autoanalyzer II,4.4,ELA-TDN/NH3,,5/9/2017 12:00:00 AM
2017050101-04,442 LA CB 9m,5/1/2017,TDP,TDP,3.809,µg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.5,ELA-TDP,,5/11/2017 12:00:00 AM
2017050101-05,442 LA CB 13m,5/1/2017,Alk,Alk,122.8,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2017050101-05,442 LA CB 13m,5/1/2017,Anions,Cl,0.2,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2017050101-05,442 LA CB 13m,5/1/2017,Anions,SO4,1.31,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2017050101-05,442 LA CB 13m,5/1/2017,Cations,Ca,2.07,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0053,UA-ICP,UAlberta,
2017050101-05,442 LA CB 13m,5/1/2017,Cations,Fe,0.05,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0161,UA-ICP,UAlberta,
2017050101-05,442 LA CB 13m,5/1/2017,Cations,K,0.35,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0092,UA-ICP,UAlberta,
2017050101-05,442 LA CB 13m,5/1/2017,Cations,Mg,0.71,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0103,UA-ICP,UAlberta,
2017050101-05,442 LA CB 13m,5/1/2017,Cations,Mn,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,UAlberta,
2017050101-05,442 LA CB 13m,5/1/2017,Cations,Na,0.63,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.016,UA-ICP,UAlberta,
2017050101-05,442 LA CB 13m,5/1/2017,Chla,Chla,2.23,µg/L,,,,,Turner Designs Trilogy Fluorometer,,ELA-Chla,hkosicheck,9/13/2017 12:00:00 AM
2017050101-05,442 LA CB 13m,5/1/2017,DIC,DIC,257,µM,,,,,LI-820 LiCor gas analyzer,,ELA-DIC,hpolaczek,5/8/2017 12:00:00 AM
2017050101-05,442 LA CB 13m,5/1/2017,DOC,DOC,527,µmol/L,,,,,"Shimadzu TOC-VCPH/CPN	",40,FWI-DOC,sstrapazzon,1/15/2019 12:00:00 AM
2017050101-05,442 LA CB 13m,5/1/2017,NH3,NH3-N,0,µg/L,,,,,Autoanalyzer II,4.4,ELA-TDN/NH3,,5/17/2017 12:00:00 AM
2017050101-05,442 LA CB 13m,5/1/2017,NO2,NO2-N,0,µg/L,,,,,Autoanalyzer II,0.6,ELA-NO2/NO3,jdearnley,5/3/2017 12:00:00 AM
2017050101-05,442 LA CB 13m,5/1/2017,NO3,NO3-N,,µg/L,,,,,Autoanalyzer II,1.12,ELA-NO2/NO3,jdearnley,5/3/2017 12:00:00 AM
2017050101-05,442 LA CB 13m,5/1/2017,Part C/N,Part C,438,µg/L,,,,,Exeter CE 440 Elemental Analyzer,41.5,UA-C/N,U of Alberta,
2017050101-05,442 LA CB 13m,5/1/2017,Part C/N,Part N,49.2,µg/L,,,,,Exeter CE 440 Elemental Analyzer,15,UA-C/N,U of Alberta,
2017050101-05,442 LA CB 13m,5/1/2017,Part P,Part P,4,µg/L,,,,,Cole-Parmer 2100 Spectrophotometer,0.2,ELA-PartP,hpolaczek,12/8/2017 12:00:00 AM
2017050101-05,442 LA CB 13m,5/1/2017,pH,pH,6.332,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,hpolaczek,5/1/2017 12:00:00 AM
2017050101-05,442 LA CB 13m,5/1/2017,SRSi,SRSi,0.92,mg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.003,ELA-SRSi,bgirouard,12/19/2017 12:00:00 AM
2017050101-05,442 LA CB 13m,5/1/2017,TDN,TDN,289,µg/L,,,,,Autoanalyzer II,4.4,ELA-TDN/NH3,,5/9/2017 12:00:00 AM
2017050101-05,442 LA CB 13m,5/1/2017,TDP,TDP,3.641,µg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.5,ELA-TDP,,5/11/2017 12:00:00 AM
2017050101-06,442 LA CB 17m,5/1/2017,Alk,Alk,208.8,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2017050101-06,442 LA CB 17m,5/1/2017,Anions,Cl,0.2,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2017050101-06,442 LA CB 17m,5/1/2017,Anions,SO4,1.4,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2017050101-06,442 LA CB 17m,5/1/2017,Cations,Ca,2.2,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0053,UA-ICP,UAlberta,
2017050101-06,442 LA CB 17m,5/1/2017,Cations,Fe,0.03,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0161,UA-ICP,UAlberta,
2017050101-06,442 LA CB 17m,5/1/2017,Cations,K,0.36,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0092,UA-ICP,UAlberta,
2017050101-06,442 LA CB 17m,5/1/2017,Cations,Mg,0.75,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0103,UA-ICP,UAlberta,
2017050101-06,442 LA CB 17m,5/1/2017,Cations,Mn,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,UAlberta,
2017050101-06,442 LA CB 17m,5/1/2017,Cations,Na,0.67,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.016,UA-ICP,UAlberta,
2017050101-06,442 LA CB 17m,5/1/2017,Chla,Chla,2.14,µg/L,,,,,Turner Designs Trilogy Fluorometer,,ELA-Chla,hkosicheck,9/13/2017 12:00:00 AM
2017050101-06,442 LA CB 17m,5/1/2017,DIC,DIC,293,µM,,,,,LI-820 LiCor gas analyzer,,ELA-DIC,hpolaczek,5/8/2017 12:00:00 AM
2017050101-06,442 LA CB 17m,5/1/2017,DOC,DOC,534,µmol/L,,,,,"Shimadzu TOC-VCPH/CPN	",40,FWI-DOC,sstrapazzon,1/15/2019 12:00:00 AM
2017050101-06,442 LA CB 17m,5/1/2017,NH3,NH3-N,19,µg/L,,,,,Autoanalyzer II,4.4,ELA-TDN/NH3,,5/17/2017 12:00:00 AM
2017050101-06,442 LA CB 17m,5/1/2017,NO2,NO2-N,0,µg/L,,,,,Autoanalyzer II,0.6,ELA-NO2/NO3,jdearnley,5/3/2017 12:00:00 AM
2017050101-06,442 LA CB 17m,5/1/2017,NO3,NO3-N,,µg/L,,,,,Autoanalyzer II,1.12,ELA-NO2/NO3,jdearnley,5/3/2017 12:00:00 AM
2017050101-06,442 LA CB 17m,5/1/2017,Part C/N,Part C,482,µg/L,,,,,Exeter CE 440 Elemental Analyzer,41.5,UA-C/N,U of Alberta,
2017050101-06,442 LA CB 17m,5/1/2017,Part C/N,Part N,48.6,µg/L,,,,,Exeter CE 440 Elemental Analyzer,15,UA-C/N,U of Alberta,
2017050101-06,442 LA CB 17m,5/1/2017,Part P,Part P,6,µg/L,,,,,Cole-Parmer 2100 Spectrophotometer,0.2,ELA-PartP,hpolaczek,12/8/2017 12:00:00 AM
2017050101-06,442 LA CB 17m,5/1/2017,pH,pH,6.259,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,hpolaczek,5/1/2017 12:00:00 AM
2017050101-06,442 LA CB 17m,5/1/2017,SRSi,SRSi,1.166,mg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.003,ELA-SRSi,bgirouard,12/19/2017 12:00:00 AM
2017050101-06,442 LA CB 17m,5/1/2017,TDN,TDN,335,µg/L,,,,,Autoanalyzer II,4.4,ELA-TDN/NH3,,5/9/2017 12:00:00 AM
2017050101-06,442 LA CB 17m,5/1/2017,TDP,TDP,3.453,µg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.5,ELA-TDP,,5/11/2017 12:00:00 AM
2017050101-07,442 LA CB 9m,5/1/2017,Alk,Alk,127.2,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2017050101-07,442 LA CB 9m,5/1/2017,Anions,Cl,0.21,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2017050101-07,442 LA CB 9m,5/1/2017,Anions,SO4,1.41,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2017050101-07,442 LA CB 9m,5/1/2017,Cations,Ca,2.13,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0053,UA-ICP,UAlberta,
2017050101-07,442 LA CB 9m,5/1/2017,Cations,Fe,0.05,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0161,UA-ICP,UAlberta,
2017050101-07,442 LA CB 9m,5/1/2017,Cations,K,0.36,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0092,UA-ICP,UAlberta,
2017050101-07,442 LA CB 9m,5/1/2017,Cations,Mg,0.73,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0103,UA-ICP,UAlberta,
2017050101-07,442 LA CB 9m,5/1/2017,Cations,Mn,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,UAlberta,
2017050101-07,442 LA CB 9m,5/1/2017,Cations,Na,0.66,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.016,UA-ICP,UAlberta,
