SampleNumber,Site,CollectDate,Test,Param,NumericResult,Results_Units,OrderDetails_User1,OrderDetails_User2,OrderDetails_User3,OrderDetails_User4,Instrument,RepLimit,Results_Method,AnalysisEmployee,AnalysisDate
2022040302-01,239 LA CB 1m,4/4/2022,Absorbance scan,A254,42.3752,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,bcooney,4/7/2022 12:00:00 AM
2022040302-01,239 LA CB 1m,4/4/2022,Absorbance scan,E2:E3,7,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,bcooney,4/7/2022 12:00:00 AM
2022040302-01,239 LA CB 1m,4/4/2022,Absorbance scan,E2:E4,26,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,bcooney,4/7/2022 12:00:00 AM
2022040302-01,239 LA CB 1m,4/4/2022,Absorbance scan,S275-295,0.0197,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,bcooney,4/7/2022 12:00:00 AM
2022040302-01,239 LA CB 1m,4/4/2022,Absorbance scan,S350-400,0.019,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,bcooney,4/7/2022 12:00:00 AM
2022040302-01,239 LA CB 1m,4/4/2022,Absorbance scan,SR,1.0395,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,bcooney,4/7/2022 12:00:00 AM
2022040302-01,239 LA CB 1m,4/4/2022,Absorbance scan,SUVA,,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,bcooney,4/7/2022 12:00:00 AM
2022040302-01,239 LA CB 1m,4/4/2022,Absorbance scan,Suv-a,0.0186,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,bcooney,4/7/2022 12:00:00 AM
2022040302-01,239 LA CB 1m,4/4/2022,Absorbance scan,Suv-b,0.0193,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,bcooney,4/7/2022 12:00:00 AM
2022040302-01,239 LA CB 1m,4/4/2022,Absorbance scan,Suv-c,0.013,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,bcooney,4/7/2022 12:00:00 AM
2022040302-01,239 LA CB 1m,4/4/2022,Alk,Alk,164,µEq/L,,,,,MANTECH MT-100,,ELA-MT100,shavens,5/17/2022 12:00:00 AM
2022040302-01,239 LA CB 1m,4/4/2022,Anions,Cl,,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,,
2022040302-01,239 LA CB 1m,4/4/2022,Anions,SO4,,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,,
2022040302-01,239 LA CB 1m,4/4/2022,Archive,Archive,,,,,,,,,ELA-Archive,,
2022040302-01,239 LA CB 1m,4/4/2022,Cations,Ca,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,,
2022040302-01,239 LA CB 1m,4/4/2022,Cations,Fe,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,,
2022040302-01,239 LA CB 1m,4/4/2022,Cations,K,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,,
2022040302-01,239 LA CB 1m,4/4/2022,Cations,Mg,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,,
2022040302-01,239 LA CB 1m,4/4/2022,Cations,Mn,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,,
2022040302-01,239 LA CB 1m,4/4/2022,Cations,Na,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,,
2022040302-01,239 LA CB 1m,4/4/2022,Chla,Chla,1.04,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,mpries,8/5/2022 12:00:00 AM
2022040302-01,239 LA CB 1m,4/4/2022,DIC,DIC,201,µmol/L,,,,,LI-850 LI-COR CO2/H20 Gas Analyzer,,ELA-DIC,cdesjardins,4/5/2022 12:00:00 AM
2022040302-01,239 LA CB 1m,4/4/2022,DOC,DOC,,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,,
