SampleNumber,Site,CollectDate,Test,Param,NumericResult,Results_Units,OrderDetails_User1,OrderDetails_User2,OrderDetails_User3,OrderDetails_User4,Instrument,RepLimit,Results_Method,AnalysisEmployee,AnalysisDate
2021011802-02,239 LA CB 5m,1/18/2021,Absorbance scan,Suv-b,0.0185,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,Absorbance scan,Suv-c,0.0126,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,Alk,Alk,156.6,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,Anions,Cl,0.24,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2021011802-02,239 LA CB 5m,1/18/2021,Anions,SO4,1.94,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2021011802-02,239 LA CB 5m,1/18/2021,Archive,Archive,,,,,,,,,ELA-Archive,,
2021011802-02,239 LA CB 5m,1/18/2021,Cations,Ca,2.65,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-02,239 LA CB 5m,1/18/2021,Cations,Fe,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0161,UA-ICP,BASL - UAlberta,
2021011802-02,239 LA CB 5m,1/18/2021,Cations,K,0.38,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-02,239 LA CB 5m,1/18/2021,Cations,Mg,0.71,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-02,239 LA CB 5m,1/18/2021,Cations,Mn,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,BASL - UAlberta,
2021011802-02,239 LA CB 5m,1/18/2021,Cations,Na,1.04,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2021011802-02,239 LA CB 5m,1/18/2021,Chla,Chla,0.37,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,bcooney,6/11/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,DIC,DIC,201.7,µM,,,,,LI-850 LI-COR CO2/H20 Gas Analyzer,,ELA-DIC,,1/18/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,DOC,DOC,,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,,
2021011802-02,239 LA CB 5m,1/18/2021,Part C/N,Part C,256.5,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2021011802-02,239 LA CB 5m,1/18/2021,Part C/N,Part N,15.6,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2021011802-02,239 LA CB 5m,1/18/2021,Part P,Part P,,µg/L,,,,,Cole-Parmer 2100 Spectrophotometer,1,ELA-PartP,,9/8/2022 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,pH,pH,6.495,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,ltimlick,1/18/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,SRSi,SRSi,2.89,mg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.003,ELA-SRSi,jthoroski,5/20/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,TDN,TDN,259,µg/L,,,,,AutoAnalyzer 3,,ELA-TDN,shavens,1/21/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,TDP,TDP,4.2,µg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.5,ELA-TDP,,1/21/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,Absorbance scan,A254,43.757,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,Absorbance scan,E2:E3,6.5172,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,Absorbance scan,E2:E4,23.625,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,Absorbance scan,S275-295,0.0193,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,Absorbance scan,S350-400,0.0192,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,Absorbance scan,SR,1.0061,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,Absorbance scan,SUVA,,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,Absorbance scan,Suv-a,0.0186,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,Absorbance scan,Suv-b,0.0185,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,Absorbance scan,Suv-c,0.0126,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,Alk,Alk,160,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,Anions,Cl,0.28,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2021011802-03,239 LA CB 10m,1/18/2021,Anions,SO4,2.01,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2021011802-03,239 LA CB 10m,1/18/2021,Archive,Archive,,,,,,,,,ELA-Archive,,
2021011802-03,239 LA CB 10m,1/18/2021,Cations,Ca,2.66,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-03,239 LA CB 10m,1/18/2021,Cations,Fe,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0161,UA-ICP,BASL - UAlberta,
2021011802-03,239 LA CB 10m,1/18/2021,Cations,K,0.38,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-03,239 LA CB 10m,1/18/2021,Cations,Mg,0.71,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-03,239 LA CB 10m,1/18/2021,Cations,Mn,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,BASL - UAlberta,
2021011802-03,239 LA CB 10m,1/18/2021,Cations,Na,1.06,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2021011802-03,239 LA CB 10m,1/18/2021,Chla,Chla,0.3,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,bcooney,6/11/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,DIC,DIC,255.54,µM,,,,,LI-850 LI-COR CO2/H20 Gas Analyzer,,ELA-DIC,,1/18/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,DOC,DOC,,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,,
2021011802-03,239 LA CB 10m,1/18/2021,Part C/N,Part C,262.6,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2021011802-03,239 LA CB 10m,1/18/2021,Part C/N,Part N,26.6,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2021011802-03,239 LA CB 10m,1/18/2021,Part P,Part P,,µg/L,,,,,Cole-Parmer 2100 Spectrophotometer,1,ELA-PartP,,9/8/2022 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,pH,pH,6.502,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,ltimlick,1/18/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,SRSi,SRSi,2.818,mg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.003,ELA-SRSi,jthoroski,5/20/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,TDN,TDN,251,µg/L,,,,,AutoAnalyzer 3,,ELA-TDN,shavens,1/21/2021 12:00:00 AM
2021011802-03,239 LA CB 10m,1/18/2021,TDP,TDP,3.7,µg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.5,ELA-TDP,,1/21/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,Absorbance scan,A254,42.8353,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,Absorbance scan,E2:E3,6.3793,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,Absorbance scan,E2:E4,23.125,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,Absorbance scan,S275-295,0.0191,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,Absorbance scan,S350-400,0.0189,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,Absorbance scan,SR,1.0127,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,Absorbance scan,SUVA,,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,Absorbance scan,Suv-a,0.0183,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,Absorbance scan,Suv-b,0.0184,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,Absorbance scan,Suv-c,0.0126,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,Alk,Alk,161,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,Anions,Cl,0.24,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2021011802-04,239 LA CB 15m,1/18/2021,Anions,SO4,1.89,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2021011802-04,239 LA CB 15m,1/18/2021,Archive,Archive,,,,,,,,,ELA-Archive,,
2021011802-04,239 LA CB 15m,1/18/2021,Cations,Ca,2.66,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-04,239 LA CB 15m,1/18/2021,Cations,Fe,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0161,UA-ICP,BASL - UAlberta,
2021011802-04,239 LA CB 15m,1/18/2021,Cations,K,0.38,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-04,239 LA CB 15m,1/18/2021,Cations,Mg,0.71,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-04,239 LA CB 15m,1/18/2021,Cations,Mn,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,BASL - UAlberta,
2021011802-04,239 LA CB 15m,1/18/2021,Cations,Na,1.04,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2021011802-04,239 LA CB 15m,1/18/2021,Chla,Chla,0.27,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,bcooney,6/11/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,DIC,DIC,231.23,µM,,,,,LI-850 LI-COR CO2/H20 Gas Analyzer,,ELA-DIC,,1/18/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,DOC,DOC,,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,,
2021011802-04,239 LA CB 15m,1/18/2021,Part C/N,Part C,294.1,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2021011802-04,239 LA CB 15m,1/18/2021,Part C/N,Part N,33.5,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2021011802-04,239 LA CB 15m,1/18/2021,Part P,Part P,,µg/L,,,,,Cole-Parmer 2100 Spectrophotometer,1,ELA-PartP,,9/8/2022 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,pH,pH,6.409,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,ltimlick,1/18/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,SRSi,SRSi,2.78,mg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.003,ELA-SRSi,jthoroski,5/20/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,TDN,TDN,257,µg/L,,,,,AutoAnalyzer 3,,ELA-TDN,shavens,1/21/2021 12:00:00 AM
2021011802-04,239 LA CB 15m,1/18/2021,TDP,TDP,2.9,µg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.5,ELA-TDP,,1/21/2021 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,Absorbance scan,A254,42.6055,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,Absorbance scan,E2:E3,6.5714,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,Absorbance scan,E2:E4,26.2857,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,Absorbance scan,S275-295,0.0192,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,Absorbance scan,S350-400,0.0195,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,Absorbance scan,SR,0.9873,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,Absorbance scan,SUVA,,,,,,,,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,Absorbance scan,Suv-a,0.0187,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,Absorbance scan,Suv-b,0.0184,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,Absorbance scan,Suv-c,0.0127,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,Alk,Alk,163,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,Anions,Cl,0.24,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2021011802-05,239 LA CB 20m,1/18/2021,Anions,SO4,1.85,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2021011802-05,239 LA CB 20m,1/18/2021,Archive,Archive,,,,,,,,,ELA-Archive,,
2021011802-05,239 LA CB 20m,1/18/2021,Cations,Ca,2.7,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-05,239 LA CB 20m,1/18/2021,Cations,Fe,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0161,UA-ICP,BASL - UAlberta,
2021011802-05,239 LA CB 20m,1/18/2021,Cations,K,0.38,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-05,239 LA CB 20m,1/18/2021,Cations,Mg,0.72,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-05,239 LA CB 20m,1/18/2021,Cations,Mn,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,BASL - UAlberta,
2021011802-05,239 LA CB 20m,1/18/2021,Cations,Na,1.05,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2021011802-05,239 LA CB 20m,1/18/2021,Chla,Chla,0.28,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,bcooney,6/11/2021 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,DIC,DIC,240.82,µM,,,,,LI-850 LI-COR CO2/H20 Gas Analyzer,,ELA-DIC,,1/18/2021 12:00:00 AM
2021011802-05,239 LA CB 20m,1/18/2021,DOC,DOC,,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,,
2021011802-05,239 LA CB 20m,1/18/2021,Part C/N,Part C,302,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2021011802-05,239 LA CB 20m,1/18/2021,Part C/N,Part N,19.1,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2021011802-05,239 LA CB 20m,1/18/2021,Part P,Part P,,µg/L,,,,,Cole-Parmer 2100 Spectrophotometer,1,ELA-PartP,,9/8/2022 12:00:00 AM
