SampleNumber,Site,CollectDate,Test,Param,NumericResult,Results_Units,OrderDetails_User1,OrderDetails_User2,OrderDetails_User3,OrderDetails_User4,Instrument,RepLimit,Results_Method,AnalysisEmployee,AnalysisDate
2021011802-01,239 LA CB 1m,1/18/2021,Absorbance scan,A254,46.2903,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,Absorbance scan,E2:E3,6.25,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,Absorbance scan,E2:E4,22.2222,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,Absorbance scan,S275-295,0.019,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,Absorbance scan,S350-400,0.018,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,Absorbance scan,SR,1.0551,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,Absorbance scan,SUVA,,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,Absorbance scan,Suv-a,0.0177,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,Absorbance scan,Suv-b,0.0184,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,Absorbance scan,Suv-c,0.0124,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,Alk,Alk,161.4,µEq/L,,,,,Mantech PC-Titration Plus System,6,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,Anions,Cl,0.28,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.03,UA-ClSO4,BASL - UAlberta,
2021011802-01,239 LA CB 1m,1/18/2021,Anions,SO4,2.08,mg/L,,,,,Dionex DX-600 Ion Chromatograph,0.04,UA-ClSO4,BASL - UAlberta,
2021011802-01,239 LA CB 1m,1/18/2021,Archive,Archive,,,,,,,,,ELA-Archive,,
2021011802-01,239 LA CB 1m,1/18/2021,Cations,Ca,2.75,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-01,239 LA CB 1m,1/18/2021,Cations,Fe,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0161,UA-ICP,BASL - UAlberta,
2021011802-01,239 LA CB 1m,1/18/2021,Cations,K,0.39,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-01,239 LA CB 1m,1/18/2021,Cations,Mg,0.74,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.01,UA-ICP,BASL - UAlberta,
2021011802-01,239 LA CB 1m,1/18/2021,Cations,Mn,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,BASL - UAlberta,
2021011802-01,239 LA CB 1m,1/18/2021,Cations,Na,1.09,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2021011802-01,239 LA CB 1m,1/18/2021,Chla,Chla,0.75,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,bcooney,6/11/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,DIC,DIC,216.54,µM,,,,,LI-850 LI-COR CO2/H20 Gas Analyzer,,ELA-DIC,,1/18/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,DOC,DOC,,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,,
2021011802-01,239 LA CB 1m,1/18/2021,Part C/N,Part C,266.5,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2021011802-01,239 LA CB 1m,1/18/2021,Part C/N,Part N,29.5,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2021011802-01,239 LA CB 1m,1/18/2021,Part P,Part P,,µg/L,,,,,Cole-Parmer 2100 Spectrophotometer,1,ELA-PartP,,9/8/2022 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,pH,pH,6.543,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,ltimlick,1/18/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,Phytoplankton taxonomy,Total Biomass,,mg/m^3,,,,,Zeiss invertoscope inverted microscope,,ELA-Phytoplankton taxonomy,,
2021011802-01,239 LA CB 1m,1/18/2021,SRSi,SRSi,2.803,mg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.003,ELA-SRSi,jthoroski,5/20/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,TDN,TDN,258,µg/L,,,,,AutoAnalyzer 3,,ELA-TDN,shavens,1/21/2021 12:00:00 AM
2021011802-01,239 LA CB 1m,1/18/2021,TDP,TDP,2.9,µg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.5,ELA-TDP,,1/21/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,Absorbance scan,A254,43.9873,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,Absorbance scan,E2:E3,6.5172,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,Absorbance scan,E2:E4,23.625,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,Absorbance scan,S275-295,0.0191,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,Absorbance scan,S350-400,0.0189,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,Absorbance scan,SR,1.0101,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,Absorbance scan,SUVA,,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
2021011802-02,239 LA CB 5m,1/18/2021,Absorbance scan,Suv-a,0.0184,,,,,,Shimadzu UV1800 Scanning Spectrophotometer,,ELA-Absorbance scan,dlangenfeld,5/20/2021 12:00:00 AM
